Country,Province,Lat,Long,Confirmed_2023,Confirmed_2021,Confirmed_2022
US,Texas,30.71490589,-104.1399973,133361,562,383157
US,Texas,35.40425596,-102.6027606,3998553,8,1669
US,Vermont,33.17906744,-100.2538401,112301,629,4869
Australia,South Australia,-27.4698,153.0251,204754,390,8
China,Heilongjiang,37.8957,114.9042,173,589,5304
China,Shanghai,36.3427,118.1498,195136,576,3607
China,Shanxi,31.202,121.4491,201099,295765,5865
France,,-14.2938,-178.1165,247183,202060,5164
Japan,Saga,,,156906,96614,1064277
US,Colorado,37.31940883,-102.5603223,1746997,62593,1072999
US,Florida,38.00450883,-108.4020725,1488306,51502,297155
US,Florida,40.87595412,-102.3519227,342507,150869,2
US,Idaho,,,3430,81156,639083
US,Idaho,32.04066113,-84.54742852,1,41,161531
US,Illinois,43.72592209,-113.1735463,29139535,41615,417723
US,Indiana,37.41391284,-88.56152109,272286,183888,184748
US,Indiana,41.2013541,-89.2869272,662747,3206,112083
US,Kansas,37.2288586,-98.68460053,206557,1800,276841
US,Kansas,37.23577007,-99.81883015,217797,100744,731288
US,Kansas,37.45338105,-96.24369667,973830,2245,29652
US,Kentucky,39.04549684,-98.20756994,1222515,147862,6278
US,Kentucky,37.56304714,-101.7843534,34490,46415,388734
US,Minnesota,45.42712824,-96.41403739,8043,9,6167
US,Mississippi,32.72531359,-90.97392828,507142,17714,526628
US,Nebraska,42.17695516,-98.0666283,21276,6684,103766
US,Nebraska,42.54502621,-101.1244332,1288438,13804,9
US,New Hampshire,41.71711774,-103.0061405,311746,7203,50279
US,New Mexico,42.20934475,-97.11926964,9,12909,75828
US,New Mexico,40.17642643,-98.50019851,67735,4,245366
US,North Carolina,36.49360862,-81.12857041,88220,14581,168640
US,North Dakota,35.87147226,-76.17055253,397796,527,169393
US,Ohio,48.77286211,-98.46685243,318090,17021,76472
US,Ohio,47.35423935,-102.6160468,259853,34889,113661
US,Ohio,46.43375068,-102.4632417,144277,17820,95614
US,Texas,34.53026962,-101.2084947,230574,7273,129203
US,Vermont,33.17751417,-99.21226795,182385,8293,7191
US,Washington,38.68295619,-78.15826963,238503,36517,161310
US,West Virginia,46.43197502,-117.5454032,18959,334137,240796
China,Guangxi,23.3417,113.4244,306978,49685,252324
US,Arkansas,65.50815459,-151.3907387,406562,7949,787416
US,Idaho,32.2654021,-84.31258912,323627,25248,82810
US,Illinois,43.75303583,-111.2056773,1545213,83520,0
US,Indiana,39.6429169,-90.47814431,132738,26024,211041
US,Kansas,38.48119447,-100.4660754,0,24599,10826
US,Kentucky,39.78525843,-101.0761617,466468,52399,9409
US,Kentucky,38.91467218,-99.87284448,22919,147443,95891
US,Kentucky,38.48178252,-101.3471509,32155,33235,21378
US,Maine,29.87592238,-93.19310676,185678,9930,53503
US,Michigan,41.40674725,-70.68763497,32770,7922,4
US,Minnesota,46.19235734,-86.19972234,116414,83209,41867
US,Mississippi,45.77298854,-96.47062949,15547,28404,68552
US,Missouri,40.12699751,-92.14780832,63425,47636,39406
US,Nebraska,47.64469406,-105.7944994,289980,32582,91961
US,Nebraska,45.81367654,-109.9425686,85824,15968,62482
US,Nebraska,46.95925154,-104.2510927,169744,39968,24428
US,Nebraska,42.22079243,-103.0878834,126029,26847,23660
US,Nebraska,40.52458567,-97.59646937,43926,52146,81054
US,New Mexico,39.44875482,-119.5250207,54182,44592,1005736
US,Ohio,46.09686891,-102.5285397,170214,39416,102367
US,Oregon,36.796297,-97.78638765,1787504,11351,33460
US,Tennessee,44.54708407,-99.00386459,182099,0,51135
US,Tennessee,45.75870838,-97.59855639,68013,43211,204538
US,Texas,34.96507426,-101.3574874,79736,26748,77597
US,Texas,30.71780434,-99.22629416,355473,21203,63528
US,Texas,28.35251708,-98.56769164,117249,145258,166698
US,Wales,43.05607708,-104.4758896,121876,885,384693
Australia,,-31.9505,115.8605,287963,1220,74027
China,Chongqing,40.1824,116.4142,715478,48589,50815
US,Arkansas,61.16666,-149.9,110743,440970,34738
US,Arkansas,62.1542916,-163.3967883,93342,18794,210664
US,Arkansas,69.31479216,-153.4836093,72859,24545,84085
US,Arkansas,33.55598792,-92.49974403,404625,261019,126801
US,Colorado,38.82777431,-102.6032558,151268,5509,100572
US,Colorado,39.68864463,-105.6463118,211342,196,62619
US,Florida,38.98749519,-103.5136649,179287,4289,108935
US,Kansas,37.5620394,-100.8710738,117074,13733,75818
US,Kentucky,38.91735806,-101.148475,245176,19687,123642
US,Nebraska,47.88084126,-110.4353362,178574,15047,144566
US,Nebraska,48.78420029,-105.5476343,198510,89615,104701
US,Nebraska,46.59907074,-110.8898557,219582,15519,29688
US,Nebraska,42.49188363,-96.86782408,179814,48067,0
US,Nevada,40.39257596,-96.26522753,57013,125157,124944
US,New Jersey,41.18813488,-97.56630712,0,137991,76274
US,North Carolina,36.33804939,-76.15568396,227700,55192,43284
US,Ohio,46.11285362,-103.5203343,141605,1458,1
US,Ohio,46.35821257,-101.6390013,80643,2402,376434
US,Ohio,46.11182017,-99.44145858,22203,67520,4985
US,Ohio,46.10830372,-97.63217159,596550,10626,693119
US,Oregon,34.7440135,-99.84741652,15948,204608,171873
US,South Dakota,43.19486375,-101.6665572,1007266,2162,965420
US,Tennessee,45.76626028,-99.22118798,284756,4829,191722
US,Texas,34.07783319,-100.2785062,1271610,3403,148839
US,Texas,29.98202582,-100.304252,230970,88587,828773
US,Texas,34.07408766,-100.779722,170295,83743,20982
US,Utah,30.89740592,-100.5384842,4621,49803,3429
US,Utah,32.73587756,-99.35401337,1001002,128867,22141
US,Virginia,44.00470222,-72.37640104,43752,8303,64022
US,Virginia,37.71044922,-76.88689628,11716,18181,73262
US,West Virginia,46.29442881,-117.9051983,45986,4862,98433
US,West Virginia,46.02408726,-121.9164403,215601,38020,360003
US,Wisconsin,38.84315422,-81.11934872,195232,59023,75247
US,Arkansas,59.79603738,-158.2381942,292214,139341,231957
US,Arkansas,57.65529415,-153.7493579,1048703,216632,480922
US,Arkansas,67.04919196,-159.7503946,263112,249733,523223
US,Illinois,42.1949428,-112.5407838,563946,780,203642
US,Illinois,37.76430935,-88.22953869,1300663,108349,5301
US,Kansas,43.37750768,-93.26087602,1409387,18509,4595
US,Kansas,38.08780079,-99.89829881,597345,30909,248695
US,Kentucky,37.19141121,-101.7992519,10988,7520,64999
US,Kentucky,37.8865336,-95.74006277,0,48339,719315
US,Massachusetts,32.00760749,-91.32915234,705695,15304,2
US,Mississippi,47.32628443,-96.45620947,179856,25250,14255
US,Montana,40.42212303,-93.5682959,1797341,43393,13563
US,Nebraska,46.33478338,-104.4183565,6389,25418,7438
US,Nebraska,45.39617714,-105.636738,501,7903,242877
US,Nebraska,48.72085833,-104.503829,2094354,20492,225484
US,Nevada,41.2200529,-98.5166499,15365,32100,396415
US,Nevada,41.19930341,-101.6620164,9473,28307,305489
US,New Hampshire,41.39750195,-97.99327291,266381,37341,34665
US,New Hampshire,40.64843556,-96.13374142,345603,33391,33644
US,New Jersey,40.51156033,-99.41461667,1475148,449514,10429
US,New Jersey,42.50284406,-102.4126613,399154,26403,108720
US,Oklahoma,36.73090616,-98.32408495,44340,9603,181430
US,Oklahoma,36.7496847,-100.4758872,36032,16104,445228
US,Oregon,36.78836519,-99.6679804,12089,6588,482411
US,Texas,31.32635934,-99.86473038,139668,42790,12
US,Texas,33.97308618,-99.7767797,224908,19379,497808
US,Texas,29.34967888,-100.4186638,523323,25818,36158
US,Texas,31.36607041,-101.5232659,595457,14736,466101
US,Virginia,44.03217337,-73.14130877,5971,9477,32788
US,Wisconsin,44.37835084,-91.75332578,1023778,20549,81076
US,Colorado,37.19474156,-107.0476867,46663,0,26798
